0,1,2,3,4,5,6,7,8,9,10
0,8,12807,7797,2062,3558,4879,12208,5008,13155,8126
1,252,296,4515,8218,767,1506,5562,7249,11315,9926
2,5,207,7204,8996,967,10132,6238,11509,3043,6304
3,697,7479,929,146,5096,3053,7651,7558,1983,4934
4,535,8789,9622,668,12641,1820,10286,5452,12041,10914
5,2,7204,207,8996,967,10132,6238,11509,3043,6304
6,10302,2297,930,7831,678,8160,1116,8479,779,12618
7,10122,2556,5112,9570,10542,4542,12322,4568,2136,4261
8,0,12807,7797,2062,3558,12208,4879,5008,8126,13155
9,305,8213,3881,641,1730,8959,11505,11779,684,5723
10,7009,7444,6914,13300,8462,442,5086,4936,895,2275
11,5537,1598,494,12293,8578,11039,7409,12997,10880,6296
12,4614,432,864,7670,3616,10774,1547,5849,13177,6342
13,42,537,2658,4021,8306,2138,10532,7755,5667,5850
14,620,654,4079,11198,106,6807,382,12688,6289,1875
15,4914,9876,475,6307,7359,158,3228,13205,12606,6965
16,12114,328,660,255,2673,761,2056,44,112,63
17,11890,3173,879,754,3996,3304,9266,7513,121,6698
18,1064,7597,8582,7369,658,1238,7513,4996,8598,5085
19,8785,245,123,2042,1722,7499,918,6318,10389,113
20,178,92,2710,12316,4243,11270,12094,6012,9836,103
21,3701,213,6996,154,280,2779,7707,12329,10900,5381
22,338,1264,947,13055,81,9098,855,11723,11955,399
23,1780,9409,1136,6161,32,12948,4874,85,9230,10578
24,1952,1592,2416,8428,11151,809,749,8245,5372,3197
25,116,10912,10220,2586,1005,4789,117,1194,72,46
26,4174,5859,4517,12571,6616,8853,11149,12834,8172,6748
27,5740,356,3357,949,12151,9816,1454,3831,6919,6425
28,231,398,5163,1257,6816,9876,7085,4273,8960,699
29,5391,5598,2152,259,4144,9159,3267,11909,9789,1341
30,3929,3094,4951,13117,7157,4395,390,9667,3579,6423
31,1490,11811,5307,12003,8018,11251,9729,5485,8174,13278
32,6161,85,12948,10578,9230,7996,11717,23,1136,10925
33,814,493,11381,1234,3802,13156,3366,233,12052,1411
34,1542,560,7262,12698,6593,8876,5334,6404,11112,7535
35,10183,11791,169,11702,413,1244,12122,11899,8688,1669
36,500,5639,12875,9999,8222,7179,4651,7472,12434,6624
37,7145,3260,8483,11130,1379,649,1268,5366,62,10678
38,9636,11449,4390,2275,9601,87,8708,6574,6914,6377
39,9922,7035,11045,13249,10889,3310,6209,170,6892,4745
40,5140,9422,346,7775,577,1258,10230,6031,1662,839
41,5367,722,1342,10246,12370,10872,7919,12068,8324,7200
42,4021,2658,8306,13,537,7755,2138,10532,5667,80
43,2184,2771,944,5209,769,4831,6560,11349,7211,11574
44,112,12114,153,63,8568,3084,847,514,1329,3293
45,3678,9056,2089,12161,7641,6915,7599,8117,11881,260
46,1194,4789,72,117,1005,2586,1341,3267,10912,116
47,13220,2087,2881,4222,3884,4786,3175,2482,11921,12133
48,4153,9605,2484,8089,10953,99,2299,4813,9511,12426
49,288,5348,3512,2087,11323,5218,2881,3175,4786,4222
50,10359,5822,2690,9244,1901,13088,8632,6390,2155,9815
51,8182,12523,13261,12707,914,8837,3346,7193,3668,12880
52,10311,11896,4634,336,2757,2241,4668,9787,11865,2114
53,4470,1048,705,10793,3799,359,7533,5928,2726,8566
54,5251,5543,7116,12564,13180,68,12618,10679,5201,1640
55,596,7203,12870,11580,8393,1209,1869,4251,2214,4079
56,5218,2087,2881,5623,11495,13303,8942,11557,10760,10105
57,542,6081,1310,1648,8777,7883,11833,8116,3148,1567
58,5019,90,710,3903,261,138,134,3918,11532,60
59,9816,7323,6084,7423,147,8244,8467,926,5740,2868
60,261,134,710,5019,8073,90,58,138,9584,11532
61,98,8973,547,812,5375,1273,2857,10498,2283,2700
62,5366,6363,6351,415,10926,1303,5210,3260,10678,11306
63,12114,44,153,112,514,8568,660,3084,2825,2707
64,223,7285,12524,12853,9419,12058,3070,237,6539,1069
65,7991,5686,11171,5218,5348,173,10630,9104,1660,11519
66,1277,1065,7015,9525,1430,7806,3209,9642,9333,10597
67,445,7069,318,11237,320,6437,254,5494,4425,7791
68,7116,12564,5543,12618,5251,5457,5201,12364,13223,10679
69,76,2632,2691,10876,10376,6581,401,10492,4396,7419
70,2564,5580,1923,2644,12553,3476,7316,3747,6167,11174
71,3777,847,3535,163,10183,11791,7245,11784,5844,413
72,4789,117,1005,1194,2586,46,1341,10912,3267,116
73,1766,8399,4115,464,5507,749,12590,351,8651,2744
74,13165,5080,881,11866,7543,12312,4805,2008,6253,9420
75,2180,759,1010,778,591,4543,8882,6012,2702,10198
76,69,10876,2632,2691,10376,401,6581,10492,1856,7141
77,2022,10882,9017,443,6794,5829,3281,12588,8666,8395
78,4752,4397,8425,8027,2759,1301,7999,9991,10933,2501
79,11052,9292,5122,2473,9464,5012,10126,6530,2118,4302
80,3733,2138,6131,4013,11172,8306,42,13,7755,4021
81,9098,855,947,1264,13055,180,4735,399,338,22
82,7933,2450,5339,4111,593,10591,11318,11704,3328,4187
83,9503,12691,13124,7107,12906,1652,9521,11321,6540,12407
84,10674,8949,12454,326,11577,3764,6557,2065,5155,6998
85,6161,10578,12948,9230,7996,32,118,1136,7749,11717
86,702,3737,4713,5452,11873,1696,127,794,535,668
87,1164,11449,5279,9601,4390,8708,1545,13161,1882,9294
88,3140,11357,12076,8052,3342,11821,6280,6415,9408,5715
89,2978,838,11930,905,3915,1582,3074,7267,9984,3911
90,58,261,710,134,5019,60,138,3903,8073,9583
91,8604,7730,5719,1986,3509,8617,6972,10847,4988,7782
92,178,20,12316,2710,4243,11270,12094,6012,9836,103
93,2560,1568,5865,8576,2029,1521,6586,2716,1670,3441
94,6840,8232,9863,1918,8771,11926,12914,9616,12412,9278
95,12846,2864,1958,4896,1225,4708,7288,5035,11162,9229
96,4268,10104,6776,9749,2884,3798,8429,4320,9902,368
97,12298,2207,13104,3468,924,3339,6642,11901,3940,13324
98,61,8973,547,5375,1273,812,3320,8992,2700,730
99,2484,9605,4153,9511,48,10953,6051,11869,2389,7639
100,955,1594,1004,2020,3690,2483,9073,172,1623,1462
101,2970,2430,10797,4694,5474,10159,12952,2121,9125,10867
102,455,8152,12474,10172,1487,6876,5899,4525,5945,8840
103,9836,5493,12211,2104,224,10528,8149,1513,1052,178
104,671,2145,1409,11891,12954,201,8198,238,10353,2559
105,2149,880,371,2608,4748,5619,6922,1392,5868,12845
106,382,6289,12688,11198,3247,11067,4079,654,620,14
107,685,10347,11354,438,11139,225,5691,3998,5867,8114
108,12184,11203,6287,3334,6714,11241,6577,12899,5308,9953
109,8477,4749,7383,4348,7503,6080,2617,12148,9032,4064
110,7505,8495,10716,10567,3808,8040,8556,10165,1011,7214
111,329,2921,13027,1844,4593,2789,3502,191,9679,2953
112,514,44,847,153,4353,2250,3084,235,527,3293
113,5338,409,123,1131,6318,754,121,879,3996,3304
114,349,9670,6852,10340,11916,2599,1876,5936,11994,9184
115,7626,133,2991,4753,4028,3146,2064,4168,2393,2858
116,25,10912,10220,4789,2586,1005,117,72,1194,46
117,1005,4789,2586,1194,72,46,1341,989,3267,9789
118,11717,10925,6161,85,12948,8969,10578,7996,9230,1136
119,669,3389,1184,11176,2443,12966,3108,5730,2987,4621
120,1621,10837,7154,4783,1422,12106,7005,7845,6143,6308
121,3304,754,9266,879,7513,3996,5203,6698,8779,2781
122,2979,11258,6825,157,9460,8310,10736,7261,8125,227
123,409,113,1135,9407,10806,6157,5545,7715,1082,12725
124,3439,3120,202,11593,1266,1581,12856,10350,9110,8855
125,5326,5581,12494,3695,5192,6404,9773,8816,12883,8919
126,7220,10403,2533,10244,9742,3106,8677,4817,556,361
