Dress_type,Brand,Actual_price,Disc_price,Image
Women's Regular Kurta with Pant,GoSriKi,3999.0,569.0,https://m.media-amazon.com/images/I/61sBAZZrYpS._AC_UL320_.jpg
Women's Ruby Cotton Printed Straight Kurta with Palazzos & Dupatta,GoSriKi,3999.0,699.0,https://m.media-amazon.com/images/I/51TQ5JLU7JS._AC_UL320_.jpg
Women's Crepe Straight Kurta (Pack of 2),GoSriKi,3999.0,379.0,https://m.media-amazon.com/images/I/713qPWv8X+L._AC_UL320_.jpg
Vaibhav Industries Women's Handloom Cotton A-Line Kurta (VI_0715-XXL),Generic,1099.0,380.0,https://m.media-amazon.com/images/I/71-i0TRRizL._AC_UL320_.jpg
Women's Anarkali Regular Rayon Kurta With Dupatta,GoSriKi,2599.0,569.0,https://m.media-amazon.com/images/I/61Ov56SdKVS._AC_UL320_.jpg
Women's Multicolor Printed Straight Kurta Pack of 02,GoSriKi,3999.0,379.0,https://m.media-amazon.com/images/I/61VyRze7LTL._AC_UL320_.jpg
Women's A-Line Crepe Kurta,Janasya,1699.0,529.0,https://m.media-amazon.com/images/I/71WTxTRa1NL._AC_UL320_.jpg
Women's White Colour Cotton Printed Kurti with Pant and Dupatta Set,Jaipuri Fashionista,2549.0,799.0,https://m.media-amazon.com/images/I/61uPb41kNlL._AC_UL320_.jpg
Women's Pure Cotton Flower Print Kurta with Palazzo,GoSriKi,3999.0,569.0,https://m.media-amazon.com/images/I/618iblH-bIS._AC_UL320_.jpg
Women's Cotton StraightKurta and Palazzos & Dupatta,GoSriKi,3599.0,659.0,https://m.media-amazon.com/images/I/61g58-cu8AS._AC_UL320_.jpg
Women's Cotton Printed Anarkali Embroidery Kurti(Red & Orange),rytras,2999.0,899.0,https://m.media-amazon.com/images/I/71+-e+-yUjL._AC_UL320_.jpg
Designer Slub Rayon Fully Stitched Anarkali Kurti for Women & Girls on Jeans Palazzo or Skirt (Plus Size Upto 2XL),OM SAI LATEST CREATION,1999.0,449.0,https://m.media-amazon.com/images/I/61Ree+7fLOL._AC_UL320_.jpg
Women's Regular Kurti,Amazon Brand - Myx,599.0,249.0,https://m.media-amazon.com/images/I/91H7O7nltmL._AC_UL320_.jpg
SHIRTWALAS Jaipuri Rajasthani Rayon Straight Kurti with Plazzo for Women & Girls Dress,Generic,2999.0,649.0,https://m.media-amazon.com/images/I/81raZqlsRLL._AC_UL320_.jpg
Women Maroon A-Line Crepe Kurti with Pant (SD092),NAINVISH,2999.0,599.0,https://m.media-amazon.com/images/I/61syzoGsQSL._AC_UL320_.jpg
Star Fashions Women's Rayon A-Line Kurta & Palazzo/Ladies Kurta & Palazzo/Kurta & Palazzo Set/Kurti & Palazzo/Block Print Kurti & Palazzo,ASCart,999.0,499.0,https://m.media-amazon.com/images/I/41I8W6YXT+L._AC_UL320_.jpg
Crepe Printed Kurti(VPK1762_Green_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61Akl-IqXVL._AC_UL320_.jpg
Women's Poly Crepe straight Kurta (VPK1583Par_ Yellow_ Large),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61Q4JoFovsL._AC_UL320_.jpg
Women's Straight Kurta,Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/71UjKltFb1L._AC_UL320_.jpg
Women's Crepe a-line Kurta,Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61FmKDaP7oS._AC_UL320_.jpg
Women Kurta with Palazzo & Dupatta,ANNI DESIGNER,3598.0,699.0,https://m.media-amazon.com/images/I/61dL9a+56eS._AC_UL320_.jpg
Women Yellow Crepe Straight Kurti with Pant Set (SD031),NAINVISH,2199.0,499.0,https://m.media-amazon.com/images/I/71-A3od3LlL._AC_UL320_.jpg
Women Stitched Straight White Blue Printed Cotton Kurti,AnjuShree Choice,2084.0,439.0,https://m.media-amazon.com/images/I/71vuccLbxcL._AC_UL320_.jpg
Women's Rayon Straight Printed Kurta with Pant,GoSriKi,2599.0,599.0,https://m.media-amazon.com/images/I/61AN8Q1D9GS._AC_UL320_.jpg
Women's Cotton Straight Kurta (Pack of 3) (03WHITERED17_Multi_Free Size),RAMDEV,3496.0,729.0,https://m.media-amazon.com/images/I/71tapAJtcUL._AC_UL320_.jpg
Magenta Floral Print Kurta with Trousers & Dupatta (Graci Magenta),GoSriKi,3999.0,659.0,https://m.media-amazon.com/images/I/61bOO4vgN9S._AC_UL320_.jpg
Women Pink Kurti Long Dress Printed Gown Anarkali Kurti Sleevless Kurti for Women & Girls-XXL,Generic,999.0,470.0,https://m.media-amazon.com/images/I/61Ud11e2-+L._AC_UL320_.jpg
Kf Rayon Straight Kurti with White Sharara Plazzo for Women & Girls Dress,Generic,1999.0,599.0,https://m.media-amazon.com/images/I/61UVhHjT0OL._AC_UL320_.jpg
Pariwar Women Kurta & Palazzo Set,Generic,999.0,494.0,https://m.media-amazon.com/images/I/71EjK6G5MDL._AC_UL320_.jpg
Women's Crepe Straight Kurta Combo Pack of Five (AD-018-CMB5_),ANNI DESIGNER,2999.0,499.0,https://m.media-amazon.com/images/I/91zJwMZNImL._AC_UL320_.jpg
Women's Cotton Printed Empire Kurta with Palazzo(YASHIKA-NEWONE-Yellow_GO),GoSriKi,3999.0,599.0,https://m.media-amazon.com/images/I/61+I4Dl9cWS._AC_UL320_.jpg
Women Rayon Printed Straight Kurta with Palazzos & Dupatta (DEB-Rayon SET10),ANNI DESIGNER,1699.0,619.0,https://m.media-amazon.com/images/I/61Yd9PM+PkL._AC_UL320_.jpg
Women's Kurtha Set,GoSriKi,2599.0,599.0,https://m.media-amazon.com/images/I/71fackLi9MS._AC_UL320_.jpg
Slub Rayon Fully Stitched Anarkali Kurti for Women & Girls on Jeans Palazzo or Skirt (Plus Size Upto 2XL),OM SAI LATEST CREATION,1999.0,469.0,https://m.media-amazon.com/images/I/71b1oU6ACxL._AC_UL320_.jpg
Women's Regular Short Kurti,Amazon Brand - Myx,699.0,249.0,https://m.media-amazon.com/images/I/81YWFAsMgxL._AC_UL320_.jpg
Crepe Digital Printed Kurti(VPK1603A_Orange_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61uy+VKQ-9L._AC_UL320_.jpg
Sanganeri Kurti Women's Cotton Embroidered Kurta with Printed Pant Set (Pink),Generic,1399.0,498.0,https://m.media-amazon.com/images/I/71X9h9V94xL._AC_UL320_.jpg
